text,category
"Es ist soweit, Ihr könnt Euch jetzt das Spaßshirt holen (vorne „Schlepperkönig“, hinten „Team Umvolkung“). Schickt eine Mail an logistik@mission-lifeline.de mit Eurer Adresse, gewünschte Shirtgröße &amp; Tag Eurer Überweisung aufs Konto (https://t.co/7B12M76Crw)! https://t.co/0AWO4lHIsF",0
"Tja, die Steuern sind nicht zweckgebunden, sie dienen zur Zeit der besonders wichtigen Staatsaufgabe der #Umvolkung. #Merkelmussweg #AfD https://t.co/1r7KqO6YSw",1
"@KokoLores20 Noch nicht begriffen, nicht die Iraker müssen sich integrieren. Noch 10 Jahre und die haben hier ihre Gesellschaft eingerichtet und die Deutschen sitzen unter sich in der Ecke. #Umvolkung Im Auftrag der Regierung.",1
"Grün will offenbar Deindustrialisierung, Amish Lebensweise, Pferdekutschen - zur Kalergi Umvolkung noch Morgenthau Agrarstaat dazu - Deutschland verrecke!😱🤡🇩🇪

SPIEGEL ONLINE: Reaktionen auf Weltklimabericht: ""Alle Alarmzeichen stehen auf Rot"".
https://t.co/ySWe3g04iT",0
@AncapDude von mir sehen die keinen Cent für ihre Umvolkung,0
"Ze kunnen hun criminele bedoelingen niet meer  verbergen  want iedereen weet het,  dan maar met een T-shirt ermee rondlopen  
het is alles of niks,  als ze de #strijd_tegen_rechts verliezen,  eindigen ze achter de tralies,  #LIFELINE
https://t.co/hK1vyyYzlI https://t.co/R0mdeH4KZj",0
"""Team Umvolkung?"" Das T-Shirt des Schlepperkapitäns https://t.co/gzsaZ5PF6s via @YouTube",1
"Herr @MiRo_SPD behauptet es kämen Dank des Migrationspakts lediglich 10.000 zusätzliche Siedler aus Dunkelgrünland.
Ich halte das für eine grobe Lüge
Und fordere eine Volksabstimmung!
Das ist Umvolkung gegen den Willen des Volkes, gegen unser Gesetz!

Bitte teilen! Danke 😍 https://t.co/zc2nPPuONL",1
"""Team Umvolkung?"" Das T-Shirt des Schlepperkapitäns https://t.co/eVezYux9Il via @YouTube",1
"Das dürft ihr euch gerne mal als Lektüre für das Wochenende reintun.

Hier wird Klartext gesprochen, und das ist nicht zufällig!

#Umvolkung ist beschlossene Sache.

Die Globalisten und Lakaien ficken Euch hart.

#PaktfürMigration https://t.co/Tjxl2mxHKq",1
"@AuswaertigesAmt @HeikoMaas @IOMchief Die kontrolierte #Umvolkung!
https://t.co/W42Dfo3V99",1
"Mehrfach gehört:

➡️ „Ich wähle #DieGrünen, weil die am wenigsten Schaden anrichten können.“

Liebe Wähler, überlegt euch das gut! Gerade diesen liegt nichts an unseren deutschen Werten!
Sie befürworten zB Umvolkung und Kinderehe!

#LtwBayern",1
"@TF46599010 @faznet Das wird die @faznet sicherlich mit Freude bestätigen und darüber hinaus auch #Chemtrails, #Fleatearther und #Umvolkung.",0
“Team Umvolkung?” Das T-Shirt des Schlepperkapitäns https://t.co/jg3EUonOoD https://t.co/6B3DkggS8O,1
"""Wohl kein Volk ist so sehr wie das deutsche bereit, sich und das  Land für fremde Völker herzugeben. Umvolkung ist dafür das falsche Wort,  richtiger lautete es: Verdrängung aus angestammtem Lebensraum. "" #MindControl https://t.co/P7H8vppPSE",1
"Personen mit rechtsextremen und menschenfeindlichen Ansichten sind in der #AfD keine Einzelfälle. Der größte Mythos ist doch der vom ""gemäßigten AfD-Wähler"", den man ernst nehmen muss. Wo sind die? Wie soll man sachlich über rechten Blödsinn wie z.B. ""Umvolkung"" diskutieren?",0
"Bei dem was sich hier als Volk bezeichnet, wünschte ich mir “Umvolkung“ wäre nicht nur eine völkische Warnvorstellung. #captainisso #NoAfD",0
"Die umstrittene #NGO 'Mission #Lifeline' bewirbt derzeit ein angeblich humoristisches T-Shirt, dessen Vorderseite Kapitän Claus-Peter #Reisch als ""#Schlepperkönig"" feiert - und positioniert sich auf der Rückseite als Teil eines ""Team #Umvolkung"".
https://t.co/imgShhWOxT",0
"@MReden @NorgePrivacy 😐hoffentlich gibt es GENUG MÜNDIGE BÜRGER, welche DIESE ORGANISIERTE😐 💩🤢HETZE🤢 der sog. ""ALTPARTEIEN"", welchen ES ALLEINE UM VORRECHTE;💩
😡PFRÜNDE&amp;MANDATE GEHT, durchschauen; MUSELMANISCHE UMVOLKUNG😡
👺und VERNICHTUNG von EXISTENZEN 🇩🇪-er BÜRGER durch die 🐍🐍👺= SCHÄDL.",1
"Die Zeit des Erwachens ist beim Michel immer noch nicht in Sicht. Für die Umvolkung ist der Regierung nichts zu kostspielig. Vor seinen Augen investiert man in die Völkerwanderung, mit Geld, was eigentlich niemand anderem gehört, als dem deutschen Volk. https://t.co/F8UBxdQBMM",1
"“Umvolkung”, was für ein Wort, bis vor kurzem ging das noch als lustige Verschwörungstheorie bei mir durch, nun wird es offenbar Wahrheit – reden wir über mal wieder kriminelle Pfaffen https://t.co/UZq5fSKyr3 https://t.co/gcTcJmvfqk",0
@Leif_Erik_Holm @WMuhsal Wacht der Michel bald auf? #umvolkung,0
"Lange Rede kurzer Sinn: In islamisierten Regionen wird weniger Alkohol gesoffen.
#Islamisierung #Umvolkung #Migration
https://t.co/JbrtL2vGHy",0
"""Team Umvolkung"" Das T-Shirt des Schlepperkapitäns
https://t.co/Pur8waKWnM",1
"""Team Umvolkung"" https://t.co/4YSyY25xVT",1
"@drumheadberlin #Merkel|s bester #AgitProp-Mann #RobinAlexander, soll mit seinem Machwerk die generalstabsmäßig geplante #Umvolkung #EUropas, als eine unglückliche  a b e r letztlich unvermeidbare Verkettung von Fehlern, Pannen &amp; Fehleinschätzungen - nun auch dem polnischen #Stimmvieh verkaufen!",1
“Team Umvolkung?” Das T-Shirt des Schlepperkapitäns https://t.co/GdPa5SDLDs https://t.co/0fqBhWr5eG,1
"@GerardBattenMEP #GreatReplacement 
#Umvolkung
#Omvolking 
It's a signed EU plan.
From Kalergi to Rabat. https://t.co/PXTHcr95Pj",0
"""Team Umvolkung?"" Das T-Shirt des Schlepperkapitäns
Die ""Mission Lifeline"" lässt die Maske fallen!

Ich frage mich warum ist dieser Kapitän immer noch frei und nicht im Knast, wo er hingehört!!

https://t.co/PSGBoAjkZT",1
@faznet Die Umvolkung geht in die vorletzte Phase. Dann muss man nur noch alle Restdeutschen ausweisen und und per Gesetz das Kalifat Alemannia proklamieren.,1
"@China_Welt_News Dieser Migrationspakt,der nicht zufällig von Merkel unterstützt wird,legalisiert die Umvolkung und macht es ihr damit leichter die deutsche Identität auszulöschen und die Islamisierung in Deutschland vorantreiben!",1
"@PureSirena @markus_henker Gegen Helfen spricht absolut nichts! Die Art und Weise wie diese ""Hilfe"" hier abläuft ist selbstzerstörerisch! Lässt du deine Wohnung offen wenn du weg bist? Eher nicht! Grenzen und Kontrollen sind unverzichtbar! Es ist kein ""helfen"" mehr, sondern eine UMVOLKUNG!",1
"An alle Angsthasen und kuschele dürftigen in Bayern! Wollt ihr wirklich die Umvolkung von Bayern und Deutschland, wollt ihr wirklich ein weiter so. Die jetzige Elite hat ganz klare Ziele und jeder der dagegen ist wird als Nazi tituliert. Ihr müsst das Ruder drehen für uns alle!",1
"Die subjektiven Gründe hierfür werden von einer bestimmten rechtsradikalen Partei an den ""besorgten Bürger"" nahe gebracht:

—Angst vor Flüchtlingen
—Angst vor Muslimen
—Angst vor ""Umvolkung""

Aber Fakten? Fakten interessieren diese Leute nicht. Die wollen nur alternative Fakten. https://t.co/wsTQkei9jM",0
"""Team Umvolkung?"" Schlepper-NGOs lassen die Maske fallen https://t.co/NygwpBo88y",1
"Soviel zum Thema Umvolkung, kaum sitzen die Schiffe im Hafen fest sucht man bereits wieder den Ausweg. Den falschen!! https://t.co/uCV8OI0Oep

@IB_Schweiz @IBDeutschland #ib #identitaerebewegung",1
@SteiblBarbara @Rheinjogger Es ist wohl der Masterplan Europa zu vernichten. Unaufhaltsam wird diese verschnupfte Regierung systematische Umvolkung betreiben. Solange keiner auf die Straße geht? Bleibt es dabei. Der Deutsche hat null Arsch in der Hose!,1
"@KNA_Redaktion @SEENOTRETTUNG Die ""Lifeline"", deren Kapitän T-Shirts mit dem Aufdruck ""Schlepperkönig"" und ""Team Umvolkung"" verkauft?

https://t.co/sWxP3t6sKs",1
"Wer #Gruene wählt, wählt #genderwahn, #Antifa Unterstützer (!!), #Schleuser,  #umvolkung also Ausrottung von nicht -Muslimen und #toleranzt sich zu Tode. Mit #Naturschutz #Wald schutz von #Hambi &amp; #Menschlichkeit hat das alles nichts mehr zu tun. Einfach mal reinhören. #Afd 🌹 https://t.co/VKygc5koL3",1
@LVZ kein Wunder. die drecks @CDU ist ja auch linksradikal und will die #Umvolkung !,1
„Team Umvolkung“ 😂 https://t.co/ilgQTM8UVF,0
"“UMVOLKUNG”. 
L’#ONG #Lifeline utilizza sulle t-shirts acquistate col ricavato dalle donazioni questo termine di derivazione #NAZI che significa ‘cambiamento forzato della composizione etnica della popolazione’. Qui esplicazione del significato del termine https://t.co/bpDlS0yjSl https://t.co/pq5j6VsfWp",0
"@chtsegel @DanijelMajic Die Umvolkung ist im vollen Gange, wie ich soeben auf @twitter erfahren musste!!11!

Leider ist dieser unbequeme Querdenker und aufgeweckte Freigeist von mir  auch schon wieder geblockt worden.

Very Sad! #BedrohtePatrioten 😉",0
"@ShakRiet Die Umvolkung, die nur die AfD stoppen kann!",1
"Il capitano di @SEENOTRETTUNG (@MV_Lifeline), @ClausReisch, agli arresti domiciliari a #Malta, pubblicizza una tshirt con scritte vergognose:sul fronte ""re dei trafficanti""e sul retro ""Umvolkung"", la germanizzazione linguistica e culturale dei popoli conquistati dai nazisti https://t.co/pyHsrn78r9",0
"@protokollsatz @loriotfehlt @nam71494240 nicht hä und vermuten, sondern endlich mal informieren wer hinter was steckt. zb. wer das geld hat bestimmt, wer bestimmt und organisiert die umvolkung der europäer und ins besondere uns, wo kommen diese kriminellen hehr. wissen kommt nicht von glauben!",1
Es geht bei dem Pakt nicht nur um Muslime und auch nicht nur um Kriegsflüchtlinge. Mit Global sind auch Klima Flüchtlinge und Wirtschaftsflüchtlinge gemeint. Der Begriff Flüchtling wird durch Migrant ersetzt und das Ziel des Migranten soll bevorzugt werden.Eine Globale Umvolkung. https://t.co/orusjWvjol,1
"#Buntland
#Umvolkung
#Refugeeswelcome https://t.co/k4bIbN6mHL",0
"""Team Umvolkung"" ... 

ironisch oder ernst gemeint - der Typ hat ein Problem https://t.co/sRwdjMA9ZW",0
"Wer nicht an #Umvolkung oder den großen Austausch glaubt, der soll sich abends an den Königsplatz in #Augsburg stellen. Einmal und nie wieder.
Augsburg wäre eigentlich eine schöne Stadt aber #bunt ist das nicht mehr.
#multikulti #Migrationspakt #LtwBayern #LtwBY18 #LtwBy #AfD",1
"Anschauen: #Bundestagsrede unserer stellv. #AfD-Fraktionsvorsitzenden @Beatrix_vStorch zum Gender-Irrsinn:
❝Es geht Ihnen um einen Kreuzzug gegen die Zweigeschlechtlichkeit, um einen Kreuzzug gegen die Biologie und die Natur des Menschen schlechthin!❞ https://t.co/TghNwnzuKM",1
"@Martin_Sellner ""Team Umvolkung"" https://t.co/PvcpV3zJns",0
"If a government wants to replace its people, the people must replace the government",1
"@Leif_Erik_Holm @AfD Geht's noch???? Dies kann doch wohl nicht wahr sein. Das ist nicht ""UMVOLKUNG"" sondern ""ÜBERVOLKUNG"" oder sogar Volksvernichtung. Wer soll denn diese Menschenmassen ernähren, bzw. wer erzeugt dann das BRUTTOSOZIALPRODUKT??",1
#Umvolkung https://t.co/S2QKntc9up,0
"Sellner vs Schlepperkönig vom ""Team Umvolkung""

Buntland🤡🇩🇪

https://t.co/p6RMpFagov",0
"Derweil in Chemnitz dröhnt es ""Wollt ihr die totale Umvolkung?"" und ""Heil Merkel!"" durch das Stadtzentrum. #nonazis",0
"Ähnliche Nummern mit Indianern, die als historische Blaupause für eine vermeintliche ""Umvolkung"" herhalten mussten, hat man schon vor Jahren in der NPD-Postille ""Deutsche Stimme"" lesen können. Aber das weiß #Höcke vermutlich. https://t.co/kMggmKU4pI",0
Die Lifeline der Schlepperkönig und das Team Umvolkung Kapitän Reisch sammelt Geld für weitere Reisen https:https://t.co/m7K4XVqTgL via @China_Welt_News,0
"@lockereschraube Wie wär's die Schraube legt Aufkleber auf nach dem Motto: ""Stopp Chemtrail-Paranoia!"" ""Nehmt Eure Pillen, Leute!"" ""Umvolkung jetzt!"" Oder so ...",0
"Wer hat nochmal behauptet, dass die ""Umvolkung"" eine rechtsradikale These sei?
https://t.co/761MObhugO",1
@RechtsgegRechts Das mit der Umvolkung hätten die Amerikaner schon vor ein paar Jahren machen sollen. New Yorker nach West Virginia oder so...,0
"https://t.co/JbUk5Uc70T
Roland Dellago: Wir werden immer mehr!. Die Umvolkung ist im vollen Gange und kaum noch aufzuhalten. Dafür haben die Deutschen zu lange gepennt.",1
"Stoiber hat schon vor Jahrzehnten davor gewarnt, dass Bayern „durchmischt und durchrasst“ wird. Und so ist es auch gekommen: Meine Frau ist vor 38 Jahren aus NRW zugezogen und hat noch nie CSU gewählt! Umvolkung schlimmster Art! https://t.co/7ShVq95tvv",0
Team Umvolkung. https://t.co/961uhbBeyE,0
"Nationalbolschewistische Aufstehen-Fans: Das ist eine jüdische Soros-Demo für Globalismus und Umvolkung.

Rechtsantideutsche: Das ist eine islamistische Milli Görüs-Demo. 🤔
#unteilbar",0
"Jetzt versucht man die illegale😠 #Migration auch noch zu legalisieren! Da muss selbst dem Letzten klar werden: hier wird eine ""#Umvolkung""😠 biblischen Ausmaßes angestrebt! 😫 #Islam #Migrationspakt #Migranten #UNO #UN #USA #Ungarn https://t.co/clIb9tumjz",1
